id,id_long,WIGOS,short_name,location,radar_type,postchange_start,prechange_end,site_lat,site_lon,site_alt,band,doppler,dp,eth_dhz_threshold,beamwidth,state,notes
1,001_1,0-20000-0-94867,CampRd,Broadmeadows,DWSR81C,28/11/2003,13/08/2010,-37.691,144.946,127.3,C,,,18,1.7,VIC,not operational
1,001_2,0-20000-0-94867,CampRd,Broadmeadows,Wurrung-2502C,25/07/2017,-,-37.691,144.946,127.3,C,Yes,Yes,18,1.7,VIC,not operational
2,002_1,0-20000-0-94865,Melb,Melbourne,DWSR81C,07/09/1993,30/07/2007,-37.8553,144.7554,45,C,,,18,1,VIC,
2,002_2,0-20000-0-94865,Melb,Melbourne,Meteor1500S,31/07/2007,25/08/2017,-37.8553,144.7555,45,S,Yes,,18,1,VIC,
2,002_3,0-20000-0-94865,Melb,Melbourne,Meteor1500SDP,11/10/2017,-,-37.8553,144.7555,45,S,Yes,Yes,18,1,VIC,
3,003_1,,Sydney,Sydney,DWSR74S,22/10/1995,08/02/2011,-34.2625,150.8752,465,S,,,18,1.9,NSW,
3,003_2,0-20000-0-06821,Wollgng,Wollongong,DWSR8502S,09/02/2011,-,-34.2624,150.8751,471.6,S,Yes,,18,1.9,NSW,
4,004_1,0-20000-0-06128,LemnTre,Newcastle,DWSR74S,07/09/1999,30/04/2013,-32.7298,152.0254,84,S,,,18,1.9,NSW,
4,004_2,0-20000-0-06128,LemnTre,Newcastle,DWSR74S,01/05/2013,-,-32.7298,152.0254,84,S,Yes,,18,1.9,NSW,
5,005_1,0-20000-0-94300,Carnvn,Carnarvon,DWSR2502C,07/12/2004,-,-24.888,113.6694,12,C,,,18,1.7,WA,
6,006_1,0-20000-0-94403,Gerlton,Geraldton,DWSR2502C,08/02/2003,17/03/2019,-28.8047,114.6973,46,C,,,18,1.7,WA,
6,006_1,0-20000-0-94403,Gerlton,Geraldton,Meteor735CDP,11/06/2019,-,-28.8047,114.6973,47.7,C,Yes,Yes,18,1,WA,
7,007_1,0-20000-0-94214,Wyndham,Wyndham,WF100-6C,09/02/2010,-,-15.4517,128.1209,339.4,C,,,18,1.7,WA,mostly operated in PPI mode
8,008_1,0-20000-0-99088,Kanign,Gympie,WF44,08/11/1999,26/08/2007,-25.9574,152.577,354,S,,,18,3,QLD,
8,008_2,0-20000-0-99088,Kanign,Gympie,DWSR8502S,27/08/2007,-,-25.9574,152.5768,355,S,Yes,,18,1.9,QLD,
9,009_1,0-20000-0-94150,Gove,Gove,TVDR2500,01/10/2002,-,-12.275,136.8199,75.7,C,,,18,1.7,NT,
10,010_1,,Darwin,DarwinAP,DWSR2502C,08/11/2011,15/05/2018,-12.4247,130.8919,39.5,C,,,18,1.7,NT,airport radar
10,010_1,,Darwin,DarwinAP,DWSR2502C,05/10/2021,-,-12.4247,130.8919,39.5,C,,,18,1.7,NT,airport radar
11,011_1,0-20000-0-94672,Adel,AdelaideAP,WF100C,03/02/2005,10/07/2005,-34.95,138.533,13,C,,,18,1.7,SA,airport radar
12,012_1,0-20000-0-94610,Perth,Perth,WF100C,10/03/1997,16/06/2010,-31.953,115.842,10,C,,,18,1.7,WA,
14,014_1,0-20000-0-94821,Gambier,Mt Gambier,WF44,02/01/2001,02/02/2004,-37.7477,140.7746,85,S,,,18,3,SA,
14,014_2,0-20000-0-94821,Gambier,Mt Gambier,WF100-6C,03/02/2004,-,-37.7477,140.7747,80.3,C,,,18,1.7,SA,
15,015_1,,Dampier,Dampier,WSR81C,13/08/2009,02/08/2020,-20.6536,116.6833,55.6,C,,,18,1.7,WA,
15,015_2,,Dampier,Dampier,WRM200CDP,30/11/2020,-,-20.6536,116.6833,55,C,Yes,Yes,18,1,WA,Vaisala radar
16,016_1,0-20000-0-94312,PHedld,Port Hedland,TVDR2500,12/03/2008,-,-20.3719,118.6317,23.8,C,,,18,1.7,WA,
17,017_1,0-20000-0-94203,Broome,Broome,DWSR2502C,18/03/2008,-,-17.9483,122.2353,31.4,C,,,18,1.7,WA,
18,018_1,0-20000-0-94170,Weipa18,Weipa,WF100C,05/11/1999,11/10/2015,-12.671,141.922,35,C,,,18,1.7,QLD,
19,019_1,,Cairns,Cairns,WSR81C,11/01/2000,19/11/2014,-16.817,145.683,652,C,,,18,1.7,QLD,
19,019_2,,Cairns,Cairns,DWSR2502C,20/11/2014,-,-16.817,145.683,660.8,C,Yes,,18,1,QLD,
