Hail ID,Date/Time,Latitude,Longitude,Nearest town,State,Hail size,Comments,
1256,2006-01-06 05:00:00,-34.6800,149.5700,Goulburn,NSW,3.0,Largest size 3cm. Most common size 1.5cm. Goulburn and Tharwa. Thunderstorm with hail.,
1257,2006-01-06 05:30:00,-35.5100,149.0700,tharwa,NSW,4.0, Goulburn and Tharwa. Thunderstorm with hail.,
1258,2006-01-06 08:10:00,-33.4300,149.5600,bathurst,NSW,2.0," Bathurst. Thunderstorm with heavy rain, strong winds and hail.",
1259,2006-01-12 04:30:00,-31.1700,150.5400,breeza,NSW,4.0,"Largest size 4cm. Most common size 2cm. Breeza. Thunderstorm with hail, wind gusts >90km/hr.",
1260,2006-01-24 00:00:00,-32.5900,149.5800,mudgee,NSW,4.4,Time of storm unknown but lasted 40minutes. Tree defoliation due to hail. Hail was larger a further 10km east of Mudgee - approximately 6cm. Mudgee. Thunderstorm with hail. Time of storm unknown but occurred in the afternoon.,
1261,2006-02-13 07:45:00,-29.5000,151.3000,nullamanna,NSW,3.0,Largets size 3cm. Most common size 2cm. Nullamanna. Thunderstorm with hail.,
1262,2006-02-15 08:30:00,-35.0300,149.2600,gundaroo,NSW,5.0,Largest size 6cm. Birds killed. Windows broken. Higgins and Gundaroo. Thunderstorm with heavy rainfall and hail.,
1263,2006-02-18 05:35:00,-33.7200,150.7500,llandilo,NSW,3.0," Llandilo, Metropolitan. Thunderstorm with hail.",
1264,2006-02-20 07:00:00,-29.5000,151.3000,nullamanna,NSW,2.0,"Largest size 2cm. Most common size 1cm. Nullamanna. Thunderstorm with hail, heavy rainfall.",
1265,2006-02-20 07:00:00,-32.2900,149.7400,Ulan,NSW,5.6,"Hail measured with calipers. Largest size 5.6cm. Most common size 3cm and 4cm. Some stripping of foliage. Branches down. Ulan, near Mudgee. Thunderstorm with hail.",
1266,2006-08-15 06:50:00,-33.9920,151.0760,Oatley,NSW,3.0, Spotter wrote "Not as much hail as shown on TV for north side.".  Media  reports showed hail accumulating over inner west parts of Sydney to depths of 4-5cm.,
1267,2006-09-06 00:00:00,-33.8700,151.2200,Sydney,NSW,5.0,see logbook. Widespread heavy rain in Sydney region on the 6th and 7th.  Large hail also reported.,
1268,2006-09-27 04:15:00,-29.6200,149.3800,Moree,NSW,3.0, Moree observer reported 20c coin size hail in the town at 14:15 EST (4:15 UTC).,
1269,2006-10-31 05:05:00,-32.9150,151.7510,hamilton,NSW,4.0,"Hamiliton - Hail size 4cm.  Most common size 2cm. Hamilton, Kahibah, Newcastle, Newcastle West. 30 cars smashed in Newcastle.",
1270,2006-10-31 05:07:00,-32.9650,151.7010,Kahibah,NSW,2.0,"Kahibah - Largest 2cm, most common 0.5cm Hamilton, Kahibah, Newcastle, Newcastle West. 30 cars smashed in Newcastle.",
1271,2006-10-31 05:20:00,-32.9200,151.7900,Newcastle,NSW,4.4,"Several reports of golf ball sized hail from Newcastle and surrounds. Hamilton, Kahibah, Newcastle, Newcastle West. 30 cars smashed in Newcastle.",
1272,2006-10-31 05:20:00,-32.9250,151.7760,Newcastle West,NSW,2.0,"Newcastle West - largest hail 2cm, most common size 0.5cm. Hamilton, Kahibah, Newcastle, Newcastle West. 30 cars smashed in Newcastle.",
1273,2006-10-31 05:20:00,-32.9240,151.7850,Newcastle,NSW,3.0,"Newcastle harbour - largest 3cm, most common 2cm estimated. Hamilton, Kahibah, Newcastle, Newcastle West. 30 cars smashed in Newcastle.",
1274,2006-10-31 05:21:00,-32.9200,151.7900,Newcastle,NSW,7.0,"Media reported next day up to cricket ball sized (7cm) hail in the storm at Newcastle. Hamilton, Kahibah, Newcastle, Newcastle West. 30 cars smashed in Newcastle.",
1275,2006-10-31 05:30:00,-32.8980,151.6680,Wallsend,NSW,4.0,"Co-op observer measured 4cm hail at Wallsend Hamilton, Kahibah, Newcastle, Newcastle West. 30 cars smashed in Newcastle.",
1276,2006-11-01 04:00:00,-30.6700,152.7700,Bowraville,NSW,3.0,20c coin size (3cm) hail reported from Bowraville (MNC) from storm at 4:00 UTC on 1/11/06 Storm at Bowraville at 4:00 UTC on 1/11/06.,
1277,2006-11-08 01:50:00,-28.7600,152.4500,Tabulam,NSW,3.0, Storm brought 3cm hail to 7km of a road south of Tabulam to a depth of 10cm between 1:50 and 2:20 UTC on 8/11/06.,
1278,2006-11-08 02:50:00,-29.8320,152.8850,Coutts Crossing,NSW,4.4, Storm tracked from Coutts Crossing (just SW of Grafton) at 2:50 UTC to just north of Evans Head at 5:00 UTC on 8/11/06. The storm produced golf ball sized hail (3 inches deep on ground) and snapped large branches off trees at Coutts Crossing. Hail was 3 inches deep on ground. Slightly larger than golf ball hail reported from Swan Creek (just N of Grafton). 10c coin hail 6 inches deep on the side of a road at Ulmarra (NE of Grafton). Temp dropped 6 degrees in 10 min just N of Evans Head with pea size hal but no severe weatrher there.,
1279,2006-11-08 03:10:00,-29.6820,152.9680,Swan Creek,NSW,5.0, Storm tracked from Coutts Crossing (just SW of Grafton) at 2:50 UTC to just north of Evans Head at 5:00 UTC on 8/11/06. The storm produced golf ball sized hail (3 inches deep on ground) and snapped large branches off trees at Coutts Crossing. Hail was 3 inches deep on ground. Slightly larger than golf ball hail reported from Swan Creek (just N of Grafton). 10c coin hail 6 inches deep on the side of a road at Ulmarra (NE of Grafton). Temp dropped 6 degrees in 10 min just N of Evans Head with pea size hal but no severe weatrher there.,
1280,2006-11-08 03:20:00,-29.6300,153.0300,Ulmarra,NSW,2.4, Storm tracked from Coutts Crossing (just SW of Grafton) at 2:50 UTC to just north of Evans Head at 5:00 UTC on 8/11/06. The storm produced golf ball sized hail (3 inches deep on ground) and snapped large branches off trees at Coutts Crossing. Hail was 3 inches deep on ground. Slightly larger than golf ball hail reported from Swan Creek (just N of Grafton). 10c coin hail 6 inches deep on the side of a road at Ulmarra (NE of Grafton). Temp dropped 6 degrees in 10 min just N of Evans Head with pea size hal but no severe weatrher there.,
1281,2006-11-13 04:15:00,-31.0000,151.2330,Woolbrook,NSW,2.0,"Hail: Largest size 2.10cm.  Most common size 2cm. "Rutherglen",  Danglemah, near Woolbrook.Rainfall 3.4mm in 5 mins not severe. Severe hail and wind gusts. Guyra - severe wind gust and heavy rainfall/flash flooding.",
1282,2006-11-15 04:00:00,-28.1790,153.5380,Tweed Heads,NSW,4.4,Hail size estimated 20c coin to golf ball at Tweed Heads. Storm brought golf ball sized hail to Tweed Heads and10c coin sized hail to Kingscliff at about 3pm on 15/11/06,
1283,2006-11-15 04:00:00,-28.2620,153.5770,Kingscliff,NSW,2.4,10c coin size hail at Kingscliff for almost 15 min. Storm brought golf ball sized hail to Tweed Heads and10c coin sized hail to Kingscliff at about 3pm on 15/11/06,
1284,2006-11-27 06:15:00,-29.6490,151.2180,nullamanna,NSW,2.5,"Largest size 2.5cm, most common size 1.5 cm. Storm at Nullamanna township (just northeast of Inverell) produced large hail then moved on to Glenn Innes and produced a 49 knot wind gust.",
1285,2006-11-28 04:40:00,-32.9200,151.7900,Newcastle,NSW,2.0, Line of storms came through the Hunter valley on the afternoon of 28/11/06 and produced heavy rainfall (deduced) and wind gusts (estimated) at Muswellbrook and strong wind gusts (recorded at AWS) at Nullo Mountain and Cessnock. 2cm hail and trees blown down by wind was reported in Newcastle the next day by the Daily Telegraph - estimated from radar archive to be between 4:40 and 5:20 UTC.,
1286,2006-11-28 07:00:00,-31.0150,150.9850,Tamworth,NSW,2.0, SES reported golf ball sized hail at Tamworth from a storm on 28/11/06 around 1 foot dep. Also a spotter at Tamworth Ag Institiute reported large hail 2cm.  (Winds not severe with 72km/h.  Rainfall 5.8mm in 1 hour also not severe.),
1287,2006-11-28 07:00:00,-31.2300,150.9000,Tamworth,NSW,4.4, SES reported golf ball sized hail at Tamworth from a storm on 28/11/06 around 1 foot dep. Also a spotter at Tamworth Ag Institiute reported large hail 2cm.  (Winds not severe with 72km/h.  Rainfall 5.8mm in 1 hour also not severe.),
